nbStage BNEfficiency BNposition Sigma noBN_CT Alter6Rev_numit Alter6Rev_TotalTime Alter6Rev_CplexTime Alter6Rev_totalBuffer BAP
4 0.66 MM 0.85 1.5 17 16.651 0.129 9 2,6,1
6 0.66 MM 0.85 1.5 81 63.863 5.474 14 1,1,8,2,2
8 0.66 MM 0.85 1.5 214 222.30201 47.819 16 1,1,2,8,2,1,1
10 0.66 MM 0.85 1.5 580 983.02503 479.60407 19 1,1,1,2,9,2,1,1,1
12 0.66 MM 0.85 1.5 1370 5023.22217 3749.32471 22 1,1,1,1,4,7,3,1,1,1,1
14 0.66 MM 0.85 1.5 2097 11624.14063 9330.77344 24 1,1,1,1,1,2,9,3,1,1,1,1,1
16 0.66 MM 0.85 1.5 2610 21315.39844 18000.02735 26 1,1,2,1,1,1,3,5,1,5,1,1,1,1,1
4 0.66 ML 0.85 1.5 12 15.556 0.12701 8 1,2,5
6 0.66 ML 0.85 1.5 66 51.61701 1.431 11 1,2,2,3,3
8 0.66 ML 0.85 1.5 194 165.60201 12.649 13 1,1,1,2,3,2,3
10 0.66 ML 0.85 1.5 440 437.99 63.559 15 1,1,1,1,2,3,2,2,2
12 0.66 ML 0.85 1.5 956 1279.90601 367.40787 17 1,1,1,1,2,2,3,1,1,2,2
14 0.66 ML 0.85 1.5 1781 3609.33692 1567.45337 19 1,1,1,1,1,1,2,3,3,1,2,1,1
16 0.66 ML 0.85 1.5 956 1737.17298 439.89298 20 1,1,1,1,1,1,1,2,2,2,1,1,1,2,2
18 0.66 ML 0.85 1.5 1512 3542.68189 1306.51539 22 1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,2,2
20 0.66 ML 0.85 1.5 2047 5921.57422 2533.38038 24 1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,2,2
22 0.66 ML 0.85 1.5 4544 26103.67969 18000.0254 26 1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,2,2,1,2,1,1
4 0.66 MM 0.85 1.5 15 15.21001 0.11601 9 2,6,1
6 0.66 MM 0.85 1.5 66 54.05401 3.408 13 1,2,6,3,1
8 0.66 MM 0.85 1.5 202 205.67501 42.82901 16 1,1,1,9,2,1,1
10 0.66 MM 0.85 1.5 507 797.19397 369.53815 19 1,1,1,2,9,2,1,1,1
12 0.66 MM 0.85 1.5 1252 4336.47217 3161.76221 22 1,1,1,1,2,9,3,1,1,1,1
14 0.66 MM 0.85 1.5 1843 9154.88965 7101.06299 24 1,1,1,1,1,3,9,2,1,1,1,1,1
16 0.66 MM 0.85 1.5 2651 21626.2129 18000.03321 27 1,2,1,1,1,1,1,7,5,1,1,1,1,2,1
4 0.66 ML 0.85 1.5 12 17.136 0.11401 8 1,2,5
6 0.66 ML 0.85 1.5 62 55.92901 1.334 11 2,1,2,3,3
8 0.66 ML 0.85 1.5 190 177.786 11.31501 13 1,1,1,3,2,1,4
10 0.66 ML 0.85 1.5 439 447.93799 68.82305 15 1,1,1,1,2,3,3,1,2
12 0.66 ML 0.85 1.5 913 1256.55103 353.47214 17 1,1,1,1,1,1,3,3,1,2,2
14 0.66 ML 0.85 1.5 1647 3430.44996 1597.19813 19 1,1,1,1,1,1,2,2,1,2,2,2,2
16 0.66 ML 0.85 1.5 993 1836.80103 478.67829 20 1,1,1,1,1,1,1,2,2,2,1,1,1,2,2
18 0.66 ML 0.85 1.5 3513 14370.16895 9368.42481 22 1,1,1,1,1,1,1,1,2,3,1,1,1,1,1,1,3
20 0.66 ML 0.85 1.5 2057 6335.18213 2754.78003 24 1,1,1,1,1,1,1,1,1,2,2,1,1,2,1,1,1,2,2
22 0.66 ML 0.85 1.5 646 1903.40796 228.14193 25 1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,2
24 0.66 ML 0.85 1.5 3810 21618.7168 12562.71583 28 1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,1,1,2
26 0.66 ML 0.85 1.5 1064 4225.93213 724.82605 29 1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,2,1,2
28 0.66 ML 0.85 1.5 1276 5359.14893 1153.69544 31 1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,2
30 0.66 ML 0.85 1.5 1607 7968.55811 2005.36915 33 1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,2
32 0.66 ML 0.85 1.5 361 2659.69507 94.29201 34 1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2
34 0.66 ML 0.85 1.5 344 2991.21094 78.72001 36 1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1
36 0.66 ML 0.85 1.5 394 3153.43506 97.88801 38 1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2
38 0.66 ML 0.85 1.5 412 3563.42701 120.893 40 1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2
40 0.66 ML 0.85 1.5 55 2562.08301 4.46001 41 1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
